date,sentiment_mean,sentiment_std,post_count,sentiment_net,sentiment_diff,sentiment_activity
2021-10-15,0.2631894,0.5830988,28,18,0.4513625,28
2021-10-17,0.32896632,0.6398512,5,3,0.51412857,5
2021-10-18,0.14798734,0.61913687,55,15,0.23902161,55
2021-10-19,0.021744838,0.63656265,41,1,0.034159724,41
2021-10-20,0.3412729,0.5714876,16,8,0.5971648,16
2021-10-21,0.27723548,0.45285717,34,24,0.6121905,34
2021-10-22,0.214444,0.4529944,48,30,0.4733911,48
2021-10-23,0.2577774,0.5863018,8,6,0.43966597,8
2021-10-24,0.49638808,0.4369153,13,9,1.136117,13
2021-10-25,0.33378914,0.5403165,37,17,0.6177648,37
2021-10-26,0.23240434,0.5387697,41,21,0.43136036,41
2021-10-27,0.09885076,0.61512995,36,10,0.16069871,36
2021-10-28,0.13299753,0.6186845,82,32,0.2149679,82
2021-10-29,0.23310483,0.5119995,119,61,0.45528242,119
